user1,user2,weight
629,1042,4
969,1170,1
804,1248,11
803,1170,8
1080,1108,5
386,1186,1
428,1076,31
864,969,1
864,866,2
864,1100,1
864,916,1
471,864,1
916,969,1
471,969,2
866,916,1
916,1100,1
471,916,1
428,1163,1
1056,1163,2
428,1056,6
842,1156,1
156,938,3
1092,1097,8
1092,1339,1
286,1122,4
118,1246,1
1103,1430,6
1103,1142,4
1142,1430,3
105,946,2
675,883,1
1035,1053,1
1018,1456,1
880,1155,7
220,1400,9
866,1071,8
910,1018,7
820,946,2
820,866,2
853,866,1
853,946,1
853,1142,1
836,946,1
836,866,1
946,1400,7
866,1400,4
930,1142,6
220,946,7
220,866,7
220,930,4
930,1400,3
946,1097,8
866,1097,15
629,930,34
346,629,29
629,946,41
946,1111,2
930,1111,1
629,1247,1
346,1247,1
946,1481,1
866,1481,1
930,1481,1
629,994,11
930,994,38
346,994,9
946,1170,5
930,1170,18
946,1105,25
930,1105,23
1102,1105,2
930,1102,4
946,1102,9
629,1102,2
866,1102,6
346,1105,12
445,980,1
368,810,21
810,1328,7
810,1121,8
810,1025,27
154,810,24
810,1084,3
810,970,5
368,1121,5
368,1025,12
368,1084,4
368,1071,9
368,970,10
1121,1328,4
1025,1328,6
154,1328,6
1084,1328,1
1071,1328,3
970,1328,4
802,1328,5
1025,1121,3
154,1121,8
1084,1121,3
1071,1121,5
970,1121,3
802,1121,2
154,1025,14
1025,1084,1
1025,1071,15
970,1025,9
802,1025,10
1025,1408,5
154,1084,3
154,1071,14
154,970,6
154,802,6
154,1408,6
1071,1084,2
802,1084,2
1084,1408,1
970,1071,2
802,1071,10
1071,1408,1
802,970,5
970,1408,2
802,1408,2
1076,1081,5
902,1081,2
1081,1168,1
368,1081,3
1025,1081,4
71,1081,1
324,1081,1
428,1081,1
154,1081,2
1076,1168,1
1025,1076,27
71,1076,13
324,1076,22
902,1168,1
368,902,5
902,1025,2
71,902,1
324,902,1
428,902,1
154,902,3
368,1168,1
1025,1168,2
71,1168,1
324,1168,1
428,1168,1
154,1168,1
71,368,9
324,368,12
368,428,23
368,837,4
71,1025,11
428,1025,14
837,1025,4
71,324,12
71,428,9
71,154,8
71,837,2
154,324,17
324,837,5
154,428,31
428,837,4
154,837,7
501,1121,3
368,1437,1
501,1437,1
368,501,18
368,1045,11
501,1045,2
368,909,16
909,1174,1
368,1174,2
1077,1134,4
60,490,2
490,889,2
932,1071,45
832,1194,1
861,909,1
1110,1385,2
1023,1071,5
1014,1023,2
1014,1071,7
154,979,3
909,1076,7
386,1117,4
386,909,2
386,1068,1
231,386,2
909,1117,2
1068,1117,5
231,1117,2
909,1068,2
231,909,7
231,1068,1
71,1071,7
71,629,7
71,1014,5
71,1516,3
629,1014,4
629,1516,4
629,1071,8
428,629,9
1014,1076,9
1076,1516,5
1071,1076,14
1014,1516,1
428,1014,6
1071,1516,12
428,1516,3
802,1516,3
428,1071,6
428,802,7
856,1031,7
856,1456,3
1031,1456,2
363,1456,2
1456,1460,1
363,1460,7
501,1007,2
1018,1060,17
1018,1105,13
673,1018,5
673,1105,6
673,1031,3
930,1430,14
346,1430,3
629,1430,9
946,1430,22
866,880,23
880,1103,4
880,1430,6
880,930,15
866,1103,10
930,1103,7
629,1103,4
1068,1122,2
1053,1493,2
104,1053,1
166,1115,1
166,1437,1
386,922,1
386,1009,1
922,1009,4
909,1053,1
938,969,1
938,1155,15
1091,1100,1
438,1197,1
126,1162,3
428,501,13
428,1328,4
428,726,2
428,816,6
428,969,2
428,1110,3
428,1385,4
428,909,3
501,1328,5
501,726,2
501,816,3
501,969,2
501,1110,2
501,1385,3
501,1496,5
165,501,3
501,1113,4
501,932,6
726,1328,1
816,1328,1
969,1328,1
1110,1328,2
1328,1385,4
909,1328,4
1328,1496,5
165,1328,4
1113,1328,2
932,1328,5
